palabra_en_ingles,traduccion
Indulge,"Consiéntase, disfrute, disfrute de, complázcase."
Indulgence,"Indulgencia, complacencia, capricho."
Warmth,"Calidez, calor."
Which,
I was given a book about hygge.,"Me regalaron un libro sobre el ""hygge""."
Sleeping mask,Antifaz para dormir.
Apart from that,Aparte de eso.
"That's the thing, I don't have time","Ese es el problema, que no tengo tiempo."
"To be honest, I've been feeling quite low.","Para ser sincero, he estado bastante desanimado."
I suppose a holiday would be good for me.,Supongo que unas vacaciones me vendrían bien.
Utter rubish,Pura basura.
I feel like it's been ages...,Parece que han pasado siglos.
Long time no see!,Hace mucho que no nos vemos!.
What's been happening on your end?,Qué es de tu vida?.
Is as it usually is.,Es como suele ser.
"Same old, same old",Lo mismo de siempre.
Great to hear that,Me alegro de escuchar eso.
How's everything on your end?,¿ Qué es de tu vida ?.
Gentrified,Gentrificado.
Sketchy,Inseguro.
Gritty,Duro (Arenoso según DeepL).
Somewhat unpleasant features.,Rasgos un tanto desagradables.
Somewhat,"Algo, un poco, algo así como."
Unpleseant,Desagradable.
Features,"Rasgos, características."
An artist's hub,Un núcleo de artistas.
I would say in the last 10 to 5 years it’s really developed.,Diría que en los últimos 10 a 5 años se ha desarrollado mucho.
If you're anti-mall,Si no te gustan los centros comerciales.
We're big fans of the neighbourhood's unique flavour.,Nos gusta mucho el ambiente único del barrio.
My neighbourhood is very busy,Mi barrio es muy concurrido.
I would walk my dog on Queen Street West every day when I lived there.,Paseaba a mi perro por Queen Street West todos los días cuando vivía allí.
Have followed suit,Han seguido su ejemplo.
An ongoing change.,Un cambio continuo.
"There’s still a little bit of that sketchiness, which we kinda like.","Todavía sigue siendo algo inseguro, lo que nos gusta."
New condos are going up across the street.,Están construyendo nuevos apartamentos enfrente.
And up-and-coming neighboorhood,An area that is becoming more popular.
"By this time next year, I'll have completed my studies.",El año que viene a estas alturas habré terminado mis estudios.
"By this time next week, you will have finished your exams!","La semana que viene, a estas alturas, habrás terminado tus exámenes."
I won't have eaten by the time you get back.,No habré comido para cuando vuelvas.
He won't have had time to go to the shops by this afternoon.,No habrá tenido tiempo de ir a la tienda esta tarde.
That will affect our future selves,Que afectarán a nuestro futuro.
Depending on what unfolds in their lives.,En función de lo que ocurra en sus vidas.
I am happy to adapt depending on what unfolds in my life.,Soy feliz adaptándome en función del rumbo que tome mi vida.
I don't have any plans for this time next year.,No tengo ningún plan para el año que viene a estas alturas.
To binge on,"Darse un atracón (Consumir alcohol, comida o películas sin moderación)."
I actually binged on a few films last weekend.,El fin de semana pasada me di un atracón de películas.
I often bing on chocolate when I'm watching TV.,A menudo me doy atracones de chocolate cuando estoy mirando la televisión.
I'll give you a highlight of the film without spoiling too much.,Te diré lo más destacado de la película sin desvelar demasiado.
Spoiling,Echando a perder.
Is it a must watch?,¿ Hay que verla ?.
Storyline,"Argumento, guión."
Anecdote,Anécdota.
Engaging,Atraer a.
"He’s got rap music on, he’s listening to it really loud..","Tiene puesta música rap, la está escuchando muy fuerte..."
We were nervous because we'd never been on a plane before.,Estábamos nerviosos porque nunca habíamos subido a un avión.
Was made afterwards.,Se hizo después
Afterwards,"Después, más tarde."
Frightening,"Aterrador, espantosa."
Out of the blue,De repente.
Sudden Frightening moments,Repentinos momentos aterradores.
Whilst looking after,Mientras cuida de.
I didn’t feel as scared as,No me sentí tan asustado como.
A must watch,"Una película ineludible, una película a ver, una película que no te podes perder."
I had felt,Había sentido.
The decision to divorce my husband,La decisión de divorciarme de mi marido.
They said they must try harder.,Dijeron que debían esforzarse más.
Eccentric,Excéntrico.
Apologised,Pidió disculpas.
Bribes,Soborno.
Inexcusable,"Inexcusable, imperdonable."
I vented my frustration,Desahogué mi frustración.
Stoop so low,Caer tan bajo.
The whole situation,Toda la situación.
Needles,Agujas.
Waged,asalariado.
Waged a point,Libro un punto.
Spite,"Rencor, mentira, desprecio."
Tampering,"Manipulación, alteración."
To pull (stock) from the shelves,sacar (existencias) de las estanterías.
Punnets,Canastas.
Furor,Furore.
Into strawberries grown,En fresas cultivadas.
Police reports were filed,Se reportaron informes policiales.
Filed,Archivado en.
The prosecution,La fiscalía.
It is claimed the robber stole $2 million worth of diamonds.,Se afirma que el ladrón robó diamantes por valor de 2 millones de dólares.
It is claimed,Se afirma que
The robber,el ladrón
Worth of,"Valor de diamantes, en diamantes."
Dimly-lit,Poca luz.
"Staring intently at my cup of boiling hot, freshly-brewed coffee.","Mirando fijamente mi taza de café hirviendo, recién hecho."
Staring,Mirando fijamente.
Intently,Atentamente.
Freshly-brewed,Recién hecho.
Warm glow,Cálido resplandor.
"On my tired, weathered face.",En mi rostro cansado y curtido (piel endurecida o envejecida).
Pleased,Complacido.
Claimed,"Reivindicado, reclamado, reivindicada."
Stated,Declaró.
Estimated,Estimado.
Copycat,Imitaciones.
Either before or after the sentence.,Ya se antes o después de la oración.
Jog your memory with,Refresque su memoria con.
Led to a demand,Dio lugar a una demanda.
Battle of craft,Batalla de naves.
Rickety,Destartalado.
Wobbling,"Tambaleante, bamboleo, tambaleándose."
Metaphor,Metáfora.
Uneven fight.,Lucha desigual.
The underdog,El desvalido.
They feel more relatable to us,Nos resultan más cercanos.
Tamper,Manipular.
Have forgotten,Han olvidado.
That's odd,Qué raro.
Location tracking,Seguimiento de la ubicación.
Location data.,"Datos de ubicación, de localización."
To target someone,Dirigir/se a alguien. Apuntar a alguien. Tener a alguien como objetivo.
Advertisements,"Anuncios, publicidad."
To classify,Clasificar.
Data points,Puntos de datos.
Determine,Determinar.
Tend to,"Tienden a, suelen."
Track,Rastrear.
To tend to do something,Tender a hacer algo.
Controversial,Controvertido.
Vowel,Vocal (Letras).
Features,Características.
Concise,"Conciso, concisa, breve."
A group of consumers who a product is designed for is called a target market.,El grupo de consumidores al que se dirige un producto se llama mercado objetivo.
Trying to come up,Tratando de llegar.
Catchy Slogan,Un eslogan pegadizo.
Brands,Marcas.
Second quarter,Segundo trimestre (o cuatrimestre).
A product launch,Lanzamiento de un producto.
An advertising campaign,Una campaña publicitaria.
An advertising agency,Una agencia de publicidad.
For an important corporate advertising agency.,Para una importante agencia de publicidad.
Ads tailored,Anuncios a medida.
Will be willing to,Estará dispuesto a.
Pop-up ads / pop-ups,"Anuncios emergentes, ventanas emergentes."
A lead,Un cliente potencial.
To promote,Promocionar.
Way more expensive than,Mucho más cara que.
Far more effective than,Mucho más eficaz que.
Slightly more annoying than,Un poco más molestas que.
By far the most recognisable,La más conocida con diferencia.
No quite as many,No tantos.
Not nearly as successful,No tan exitoso como.
Billboards,Vallas publicitarias.
The appearance of broadcast media led to important changes in advertising.,La aparición de los medios de comunicación audiovisual supuso un cambio importante en la publicidad.
A printed sheet,Una hoja impresa.
To pitch ideas,Presentar ideas.
A leaflet,Un folleto.
Harassed,Acosado.
Threatened to,Amenazó con.
I want to stand up for myself.,Quiero defenderme.
To further harassment and threats,A más acoso y amenaza.
We could address online bullying,Podríamos abordar el acoso en línea.
Tailor,A medida.
Once upon a time,Érase una vez.
Muttered,Murmuró.
His first sip,Su primer sorbo.
Widely,Ampliamente.
Desperately,Desesperadamente.
Currently,Actualmente.
Almost,Casi.
Nearly,"Casi, cerca de, casi en."
The summit,La cumbre.
Time stamps,Marcas de tiempo.
Managing,Gestionado.
Made them a trend,Los convirtió en tendencia.
Had Paul been taking care of his back before the accident?,¿Se había estado cuidando Paul la espalda antes del accidente?.
Throughout,En todo.
Had been going,Había estado yendo.
She pretended not to see me.,Fingió no verme.
to appear to,Parecer.
Can't afford to,No poder permitirse.
To promise to,Prometer.
Brewed,Elaborado.
A gaze,Una mirada larga.
Cup of freshly brewed coffee,Taza de café recién hecho.
Engrossed,Absorto.
Tax policies,Políticas fiscales.
To suggest,Sugerir.
To risk,Arriesgar.
Benign,Benigno.
We suggest having surgery first thing in the morning,Sugerimos que se opere a primera hora de la mañana.
Distrustful,Desconfiado.
Cartoonist,Dibujante.
Fellow artists,Compañeros artistas.
Tactful,Con tacto.
Catious,Prudente.
Stubborn,Terco/Terca.
Mean,Malo/Mala.
Talkative,Hablador/Habladora.
Thoughtful,"Reflexivo, reflexiva."
Chattering away,Parloteando.
Leather,Cuero.
They haunted my head and my home,Rondaban mi cabeza y mi casa.
Smother me,Me asfixian.
A strangle hold,Un estrangulamiento.
Bruises,Marcas (Moratones en gallego bestia).
Spreadout,"Repartir, Desplegar, Extender, Dispersar."
And to righteous,"Y demasiado justo, demasiado recto."
Nameless,Sin nombre.
Unaware,"Sin saberlo, inconscientemente. Sin Conocimiento."
"Being trapped in a smelly, tiny room",Estar atrapado en una habitación pequeña y maloliente.
Loud buzzing,Zumbido fuerte.
Don't resonate with,No resuenan con.
Hardly,"Apenas, difícilmente."
Bid Manager,Gestor de ofertas.
Would be too disruptive,Sería demasiado perturbador.
Some overlap,Cierto solapamiento.
The pleasure's all mine,El placer es mío.
What do you do for a living?,¿A qué te dedicas?.
Are you enjoying it here so far?,¿Va todo bien de momento?.
Have you been here long?,¿Llevas mucho tiempo aquí?.
Can I check that I understand?,¿Puedo comprobar que lo he entendido?.
Reformulate,Reformular.
We're pescatarians,Somos pescetarianos.
What was that again ?,"Disculpa, ¿qué has dicho?."
To put our heads together,Pensarlos juntos.
To pitch in,Contribuir.
They'll all pitch in to help me redecorate the house.,Todos contribuirán para ayudarme a redecorar la casa.
What do you suggest?,¿ Qué sugieres?.
To get on with something,Ponerse con algo.
Essay,"Ensayo, redacción."
Budget,Presupuesto.
Redevelopment,"Reurbanización, remodelación, rehabilitación."
What's your view on this ?,¿ Cuál es tu opinión al respecto ?.
Whenever you need,Siempre que necesite.
Biggest revenue,Mayores ingresos.
For my stubborn attitude,Por mi actitud testaruda.
I realise why you misunderstood,Me doy cuenta de por qué lo has entendido mal.
I can see why you thought (that),Entiendo por qué lo pensaste.
That's not actually true.,"En realidad, no es cierto."
When I said... what I actually meant was…,Cuando dije.. lo que quería decir en realidad era.
Actually meant,En realidad quería decir.
Isn't keen,No es entusiasta.
I didn't explain myself well.,No me he explicado bien.
What did you hear me say?,¿ Qué es lo que has entendido ?.
To take it the wrong way,Tomárselo a mal.
An agenda,"Un orden del día, un programa, una agenda."
by 5pm.,Antes de las 17:00 horas.
AOB?,(Any other business) otras cuestiones.
Commuting costs,Gastos de desplazamiento.
Turn to,"Girar a, A su vez a, pasar a, volver a."
Steer clear of the infamous,Evite el infame.
Steer clear,Evitar.
And further on,Y más adelante.
She stresses,"Ella subraya, destaca, hace hincapié en, subraya que."
Points out why,Señala por qué.
"At the beginning, the author argues that...",Al principio el autor defiende que.
"Further on, the author examines why...","Más adelante, la autora analiza por qué."
For ills so immeasurable,Por males tan inconmensurables.
Time and silence are the only medicine,El tiempo y silencio son la única medicina.
Lacked words,"Faltaban palabras, le faltaban palabras, falta de palabras."
Eloquently express his sympathy.,Expresar elocuentemente su simpatía.
A potty mouth,Un boca sucia.
Swear word,Palabrota.
What the hell?,¿Qué demonios?.
What the heck?,¿Qué narices?.
Fucking,"Jodido/a, maldita."
The coffee is bloody disgusting,El café es un maldito asco.
Freaking,Es un fucking más light.
The coffee is freaking hot,El café está terriblemente caliente!.
Crap,"caca, una mierda."
Shoot! I forgot to send invites to the meeting.,¡Mierda! Olvidé enviar invitaciones a la reunión.
Damn,"""Damn"" es una palabrota que significa que mandamos a alguien al infierno y hace referencia a la religión."
Darn,Damn con menos cafeína.
"Darn, it's cold in here","¡ Caray, que frío hace aquí !."
To grow,Crecer.
To increase,Aumentar.
Rose significantly,"Aumento significativamente, rose es pasado de ""rise"" y no es rosa en este caso."
To decline,Reducirse.
To drop,Bajar.
To remain stable,Mantenerse estable.
To hold steady,Mantenerse constantes.
The figures show (that),Las cifras demuestran que.
On average,De media.
To be likely to,Es probable que.
According to the statistics...,Según las estadísticas.
Statistically speaking...,En términos estadísticos.
To account for,Representar.
To see a rise in...,Registrar un aumento de.
Circulatory disease,Enfermedad circulatoria.
Bright spot,Punto brillante.
With a gulf in outcomes,Con un abismo en los resultados.
Rather,"Más bien, En lugar, En lugar de."
The causative,El causante.
Breakdown services,Servicios de avería. Asistencia en carretera.
Can't be repaired roadside.,No puede repararse en la carretera.
Spark plug,Bujía de encendido.
Raul has had the oil changed,A Raúl le han hecho cambiar el aceite.
I need to get my eyes tested.,Necesito revisarme la vista.
Assistant,Asistente.
Vase,"Jarrón, Florero."
Clumsy,Torpe.
A palm facing in,Una palma hacia adentro.
To stroke your chin,Tocarse la barbilla.
Struck,Golpeo.
To tap your nose,Tocarse la Nariz.
To tilt your head,Inclinar la cabeza.
She shook,Se sacudió.
To raise your eyebrows,Levantar las cejas.
To furrow your brows,Fruncir las cejas.
To lean forward/back,Inclinarse hacia delante/hacia atrás.
A forehead,Una fruente.
Touch your thumb to your chest.,Tócate el pecho con el pulgar.
An index finger,Un dedo índice.
Brow,Ceja.
She looks very approachable,Parece muy accesible.
She looks like my sister-in-law,Se parece a mi cuñada.
She looks like she likes spending time with people,Parece que le gusta pasar tiempo con la gente.
Swiped right,"deslizó a la derecha, deslizado a la derecha."
Swiped,"Birlado, buceado, birló. Robar."
June's hair smells like lavender,El pelo de June huele a lavanda.
My ice cream tastes like heaven,Mi helado sabe a gloria.
June's hands feel soft,Las manos de June son suaves.
It feels like we've known each other forever,Parece que nos conocemos desde siempre.
Its fur feels super smooth,Tiene el pelo supersuave.
Bitter,Amargo.
Wrist,Muñeca.
Wrinkles,Arrugas.
Calf,Pantorrilla.
Wrap,Envolver todos estos regalos.
My calves,Mis gemelos.
Unbereable,Insoportable.
To lose your balance,Perder el equilibrio.
The anchor would certainly stop me,El dispositivo de seguridad sin duda me detendría.
To lean back,Apoyarse.
Belt,Cinturón.
To hold something tightly,Sujetar algo con fuerza.
To cramp,Tener calambres.
Wear and tear,Desgaste.
A knee replacement,Una prótesis de rodilla.
To sprain your wrist,Torcerse la muñeca.
To bruise your arm,Hacerse un moratón en el brazo.
Lifting,"Elevación, elevador, elevar."
To trap your fingers,Pillarse los dedos.
To pull a muscle,Dar un tirón. Sufrir un tirón.
I nearly pulled a muscle,Casi me da un tirón.
To break a bone,Romperse un hueso.
Hip pain,Dolor de cadera.
I broke a bone while handling a heavy box.,Me rompí un hueso mientras movía una caja pesada.
Workplace hazards,Riesgos laborales. Peligros en el lugar de trabajo.
Aims to,"Tiene por objeto, pretende."
To start with,Para empezar.
Let me move on to,"A continuación, abordaré."
That brings me to the point,Eso me lleva al hecho.
Let me finish by saying,Terminaré diciendo.
Janet would prefer to stay in to do her workout.,Janet prefiere quedarse en casa para hacer ejercicio.
To lift weights,Levantar pesas.
To extend your leg,Extender la pierna.
To flex your toes,Flexionar los dedos de los pies.
Strengthen,"Reforzar, fortalecer, fortalezca."
Keep your core tight throughout the whole exercise.,Mantenga el tronco contraído durante todo el ejercicio.
Goes all the way up.,Sube hasta arriba.
To bend,"Doblar, Flexionar, Inclinarse."
To squeeze your butt,Contraer los glúteos.
To keep your core tight,Mantener tu centro firme.
Mat,Alfombra.
Body image,Imagen corporal.
Love the skin you're in,Ama tu cuerpo.
Body shaming,Humillación física.
Overweight,Sobrepeso.
